# Метеостанция Енисейск, Россия, WMO_ID=29263, выборка с 01.11.2018 по 20.11.2018, все дни
# Кодировка: UTF-8
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru 
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=29263&lang=ru
#
"Местное время в Енисейске";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"14.11.2018 19:00";"-7.4";"760.9";"769.0";"-0.2";"88";"Ветер, дующий с юго-юго-запада";"4";"";"";"100%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"-7.1";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"600-1000";"";"";"8.0";"-9.1";"2.0";"12";"";"";"";"";
"14.11.2018 16:00";"-7.5";"761.1";"769.2";"-0.4";"88";"Ветер, дующий с юго-юго-запада";"3";"";"";"100%.";"Ливневый снег умеренный или сильный в срок наблюдения или за последний час. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"600-1000";"";"";"1.0";"-9.2";"";"";"";"";"";"";
"14.11.2018 13:00";"-7.8";"761.5";"769.6";"-0.9";"81";"Ветер, дующий с юго-юго-запада";"4";"";"";"100%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"70 – 80%.";"600-1000";"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";"";"4.0";"-10.5";"";"";"";"";"";"";
"14.11.2018 10:00";"-8.9";"762.4";"770.5";"0.1";"89";"Ветер, дующий с юга";"2";"";"";"90  или более, но не 100%";"Ливневый снег слабый в срок наблюдения или за последний час. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"-13.7";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"90  или более, но не 100%";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"4.0";"-10.4";"";"";"";"";"";"";
"14.11.2018 07:00";"-13.4";"762.3";"770.6";"-0.1";"85";"Ветер, дующий с юго-востока";"1";"";"";"100%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"Ливень (ливни).";"Метель";"-13.4";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"70 – 80%.";"600-1000";"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";"";"9.0";"-15.4";"0.8";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"16.0";
"14.11.2018 04:00";"-13.0";"762.4";"770.6";"0.9";"85";"Ветер, дующий с востоко-юго-востока";"1";"";"";"100%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"Ливень (ливни).";"Метель";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"70 – 80%.";"600-1000";"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";"";"9.0";"-15.0";"";"";"";"";"";"";
"14.11.2018 01:00";"-12.7";"761.5";"769.7";"2.1";"85";"Ветер, дующий с северо-северо-запада";"3";"";"";"100%.";"Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ";"Ливень (ливни).";"Метель";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"50%.";"600-1000";"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";"";"26.0";"-14.7";"";"";"";"";"";"";
"13.11.2018 22:00";"-9.2";"759.4";"767.5";"0.9";"86";"Ветер, дующий с западо-юго-запада";"3";"";"";"100%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"60%.";"600-1000";"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";"";"9.0";"-11.2";"";"";"";"";"";"";
"13.11.2018 19:00";"-9.6";"758.5";"766.7";"0.8";"85";"Ветер, дующий с юго-запада";"4";"";"";"100%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"-9.6";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"60%.";"600-1000";"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";"";"9.0";"-11.7";"1.0";"12";"";"";"";"";
"13.11.2018 16:00";"-10.4";"757.7";"765.9";"0.5";"80";"Ветер, дующий с юго-юго-запада";"3";"";"";"100%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"60%.";"600-1000";"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";"";"4.0";"-13.2";"";"";"";"";"";"";
"13.11.2018 13:00";"-11.8";"757.2";"765.4";"0.2";"80";"Ветер, дующий с юго-юго-запада";"4";"";"";"100%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"Ливень (ливни).";"Снег и/или другие виды твердых осадков";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"60%.";"600-1000";"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";"";"4.0";"-14.6";"";"";"";"";"";"";
"13.11.2018 10:00";"-13.7";"757.0";"765.3";"-0.2";"80";"Ветер, дующий с юга";"3";"";"";"100%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"Ливень (ливни).";"Снег и/или другие виды твердых осадков";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"70 – 80%.";"600-1000";"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";"";"4.0";"-16.4";"";"";"";"";"";"";
"13.11.2018 07:00";"-14.5";"757.2";"765.4";"-0.1";"80";"Ветер, дующий с юга";"3";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Метель";"-17.0";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";"";"9.0";"-17.2";"2.0";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"13.0";
"13.11.2018 04:00";"-14.8";"757.3";"765.6";"-0.5";"80";"Ветер, дующий с юго-юго-запада";"3";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Метель";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";"";"9.0";"-17.5";"";"";"";"";"";"";
"13.11.2018 01:00";"-14.8";"757.8";"765.7";"-0.9";"84";"Ветер, дующий с юга";"3";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Метель";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";"";"9.0";"-16.9";"";"";"";"";"";"";
"12.11.2018 22:00";"-16.5";"758.7";"767.0";"-0.7";"80";"Ветер, дующий с юга";"4";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Метель";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";"";"9.0";"-19.1";"";"";"";"";"";"";
"12.11.2018 19:00";"-17.0";"759.4";"767.9";"-1.4";"75";"Ветер, дующий с юга";"4";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"-17.0";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";"";"9.0";"-20.4";"0.4";"12";"";"";"";"";
"12.11.2018 16:00";"-18.6";"760.8";"769.3";"-1.6";"75";"Ветер, дующий с юго-юго-востока";"4";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";"";"50.0";"-21.9";"";"";"";"";"";"";
"12.11.2018 13:00";"-21.1";"762.4";"771.0";"-2.0";"80";"Ветер, дующий с юго-юго-востока";"3";"";"";"90  или более, но не 100%";"Состояние неба в общем не изменилось. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"20–30%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"50.0";"-23.6";"";"";"";"";"";"";
"12.11.2018 10:00";"-25.6";"764.4";"773.2";"-0.7";"80";"Ветер, дующий с юго-востока";"2";"";"";"90  или более, но не 100%";"Состояние неба в общем не изменилось. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"-25.6";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"70 – 80%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"50.0";"-28.1";"";"";"";"";"";"";
"12.11.2018 07:00";"-25.4";"765.1";"773.9";"-0.6";"80";"Ветер, дующий с юга";"2";"";"";"90  или более, но не 100%";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"-25.7";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"50%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"9.0";"-27.8";"0.2";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"12.0";
"12.11.2018 04:00";"-25.2";"765.7";"774.5";"-0.6";"80";"Ветер, дующий с юго-юго-востока";"1";"";"";"40%.";"Состояние неба в общем не изменилось. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"30.0";"-27.7";"";"";"";"";"";"";
"12.11.2018 01:00";"-25.4";"766.3";"775.1";"-0.4";"80";"Штиль, безветрие";"0";"";"";"90  или более, но не 100%";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"60%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"9.0";"-27.8";"";"";"";"";"";"";
"11.11.2018 22:00";"-24.8";"766.7";"775.4";"-0.2";"80";"Ветер, дующий с юга";"1";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"20–30%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"26.0";"-27.3";"";"";"";"";"";"";
"11.11.2018 19:00";"-24.2";"766.9";"775.7";"0.3";"80";"Ветер, дующий с юга";"1";"";"";"90  или более, но не 100%";" ";"";"";"";"-19.7";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"26.0";"-26.7";"Осадков нет";"12";"";"";"";"";
"11.11.2018 16:00";"-20.1";"766.6";"775.1";"0.2";"85";"Ветер, дующий с юга";"1";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"-22.0";"";"";"";"";"";"";
"11.11.2018 13:00";"-22.6";"766.4";"775.0";"0.1";"80";"Ветер, дующий с востоко-северо-востока";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"-25.1";"";"";"";"";"";"";
"11.11.2018 10:00";"-28.5";"766.3";"775.1";"0.9";"79";"Ветер, дующий с юго-юго-запада";"1";"";"";"90  или более, но не 100%";"Дымка. ";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"-30.4";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"4.0";"-31.0";"";"";"";"";"";"";
"11.11.2018 07:00";"-30.2";"765.4";"774.3";"0.7";"79";"Ветер, дующий с юго-юго-востока";"1";"";"";"Облаков нет.";" ";"";"";"-30.2";"";"";"";"";"";"";"30.0";"-32.6";"Осадков нет";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"12.0";
"11.11.2018 04:00";"-28.6";"764.7";"773.5";"0.2";"80";"Ветер, дующий с юго-юго-востока";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"30.0";"-31.0";"";"";"";"";"";"";
"11.11.2018 01:00";"-25.7";"764.5";"773.2";"0.8";"80";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"30.0";"-28.1";"";"";"";"";"";"";
"10.11.2018 22:00";"-26.2";"763.7";"772.5";"1.2";"79";"Ветер, дующий с юга";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"30.0";"-28.7";"";"";"";"";"";"";
"10.11.2018 19:00";"-22.1";"762.5";"771.1";"1.0";"80";"Ветер, дующий с юга";"1";"";"";"20–30%.";" ";"";"";"";"-18.2";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"30.0";"-24.7";"Следы осадков";"12";"";"";"";"";
"10.11.2018 16:00";"-18.8";"761.5";"769.9";"0.9";"65";"Ветер, дующий с юга";"2";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"20–30%.";"600-1000";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"50.0";"-23.7";"";"";"";"";"";"";
"10.11.2018 13:00";"-19.4";"760.6";"769.2";"0.5";"65";"Ветер, дующий с юго-юго-запада";"3";"";"";"90  или более, но не 100%";"Состояние неба в общем не изменилось. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"";"";"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.";"20–30%.";"1000-1500";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"50.0";"-24.3";"";"";"";"";"";"";
"10.11.2018 10:00";"-23.2";"760.1";"768.7";"1.4";"80";"Ветер, дующий с юга";"1";"";"";"90  или более, но не 100%";" ";"";"";"-24.0";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"20–30%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"50.0";"-25.7";"";"";"";"";"";"";
"10.11.2018 07:00";"-23.2";"758.7";"767.3";"1.5";"75";"Ветер, дующий с юго-юго-востока";"2";"";"";"Облаков нет.";"Состояние неба в общем не изменилось. ";"Метель";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"-23.2";"";"";"";"";"";"";"30.0";"-26.4";"Осадков нет";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"12.0";
"10.11.2018 04:00";"-21.4";"757.2";"765.7";"3.5";"65";"Ветер, дующий с запада";"3";"";"10";"Облаков нет.";"Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ";"Метель";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"";"";"";"";"";"";"";"30.0";"-26.2";"";"";"";"";"";"";
"10.11.2018 01:00";"-18.0";"753.7";"762.1";"3.3";"67";"Ветер, дующий с запада";"5";"";"12";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"30.0";"-22.6";"";"";"";"";"";"";
"09.11.2018 22:00";"-15.1";"750.4";"758.5";"4.1";"71";"Ветер, дующий с запада";"4";"";"10";"40%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"40%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"30.0";"-19.3";"";"";"";"";"";"";
"09.11.2018 19:00";"-12.3";"746.3";"754.4";"5.4";"71";"Ветер, дующий с запада";"5";"";"";"90  или более, но не 100%";"Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ";"Ливень (ливни).";"Метель";"";"1.8";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"40%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"30.0";"-16.6";"0.4";"12";"";"";"";"";
"09.11.2018 16:00";"-7.2";"740.9";"748.9";"5.5";"69";"Ветер, дующий с запада";"6";"";"18";"90  или более, но не 100%";"Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ";"Ливень (ливни).";"Метель";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"40%.";"600-1000";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"50.0";"-12.0";"";"";"";"";"";"";
"09.11.2018 13:00";"1.8";"735.4";"742.9";"0.7";"80";"Ветер, дующий с юго-запада";"9";"";"20";"100%.";"Ливневый снег умеренный или сильный в срок наблюдения или за последний час. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"600-1000";"";"";"0.5";"-1.3";"";"";"";"";"";"";
"09.11.2018 10:00";"1.1";"734.7";"742.3";"-0.5";"87";"Ветер, дующий с юго-юго-запада";"5";"";"";"90  или более, но не 100%";"Ливневый снег слабый в срок наблюдения или за последний час. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"90  или более, но не 100%";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"4.0";"-0.9";"";"";"";"";"";"";
"09.11.2018 07:00";"0.4";"735.2";"742.8";"-1.2";"94";"Ветер, дующий с юга";"5";"";"";"70 – 80%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"Ливень (ливни).";"Буря";"-1.4";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"70 – 80%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"9.0";"-0.4";"3.0";"12";"";"";"Ровный слой слежавшегося или мокрого снега покрывает поверхность почвы полностью.";"13.0";
"09.11.2018 04:00";"0.2";"736.4";"744.1";"-2.0";"94";"Ветер, дующий с юга";"5";"";"10";"90  или более, но не 100%";"Ливневый снег слабый в срок наблюдения или за последний час. ";"Ливень (ливни).";"Буря";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"70 – 80%.";"600-1000";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"9.0";"-0.6";"";"";"";"";"";"";
"09.11.2018 01:00";"-0.2";"738.4";"746.0";"-2.4";"94";"Ветер, дующий с юга";"4";"";"";"100%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"Ливень (ливни).";"Метель";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"60%.";"600-1000";"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";"";"9.0";"-1.1";"";"";"";"";"";"";
"08.11.2018 22:00";"-0.8";"740.8";"748.5";"-2.1";"95";"Ветер, дующий с юга";"4";"";"";"100%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"Ливень (ливни).";"Метель";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"70 – 80%.";"600-1000";"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";"";"9.0";"-1.5";"";"";"";"";"";"";
"08.11.2018 19:00";"-1.4";"742.9";"750.6";"-1.2";"94";"Ветер, дующий с юга";"3";"";"";"100%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"-1.4";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"70 – 80%.";"600-1000";"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";"";"9.0";"-2.2";"0.7";"12";"";"";"";"";
"08.11.2018 16:00";"-1.9";"744.1";"751.8";"0.3";"88";"Ветер, дующий с юго-юго-запада";"2";"";"";"100%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"70 – 80%.";"600-1000";"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";"";"4.0";"-3.7";"";"";"";"";"";"";
"08.11.2018 13:00";"-2.9";"743.8";"751.6";"0.3";"86";"Ветер, дующий с юго-запада";"3";"";"";"100%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"60%.";"600-1000";"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";"";"4.0";"-4.9";"";"";"";"";"";"";
"08.11.2018 10:00";"-4.6";"743.5";"751.3";"0.0";"91";"Ветер, дующий с юго-юго-запада";"3";"";"";"100%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"60%.";"600-1000";"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";"";"4.0";"-5.9";"";"";"";"";"";"";
